,period,aqi,natural_gas_value,coal_value
98,2024-04-14,1.7438829389432293,151390.85240426665,1309.648390351886
99,2024-04-15,1.743843043589867,151372.4068619597,1310.5692543460304
100,2024-04-16,1.7438047493487163,151354.70106625507,1311.4535664019033
101,2024-04-17,1.743767991685032,151337.70524557796,1312.302765214128
102,2024-04-19,1.7437327086889334,151321.39083546086,1313.1182338994267
103,2024-04-20,1.74369884096664,151305.73042884102,1313.9013020523093
104,2024-04-21,1.7436663315363585,151290.6977284652,1314.6532477332682
105,2024-04-27,1.7436351257286058,151276.26750131382,1315.3752993905855
106,2024-05-01,1.7436051710908282,151262.41553495193,1316.068637716642
107,2024-05-05,1.7435764172961175,151249.1185957171,1316.7343974405826
108,2024-05-08,1.743548816055793,151236.35438866532,1317.3736690593964
109,2024-05-14,1.7435223210356714,151224.10151919813,1317.9875005089823
110,2024-05-21,1.7434968877758745,151212.33945629594,1318.5768987767203
111,2024-05-22,1.7434724736140172,151201.04849728706,1319.142831457261
112,2024-05-23,1.7434490376116234,151190.2097340853,1319.6862282532134
113,2024-05-28,1.7434265404836344,151179.8050208338,1320.2079824222299
114,2024-06-02,1.7434049445308755,151169.81694289303,1320.7089521720081
115,2024-06-06,1.7433842135753468,151160.22878711452,1321.189962004816
116,2024-06-13,1.7433643128982126,151151.02451334492,1321.6518040131184
117,2024-06-18,1.7433452091803716,151142.1887271082,1322.0952391278413
118,2024-06-19,1.743326870445494,151133.70665341517,1322.5209983207785
119,2024-06-20,1.7433092660054224,151125.5641116519,1322.9297837626586
120,2024-06-26,1.743292366407834,151117.74749150214,1323.3222699383252
121,2024-07-01,1.7432761433860657,151110.243729859,1323.6991047204554
122,2024-07-02,1.7432605698110144,151103.0402886847,1324.0609104031907
123,2024-07-05,1.7432456196450161,151096.1251337777,1324.4082846970439
124,2024-07-06,1.7432312678976272,151089.48671440987,1324.7418016864094
125,2024-07-07,1.7432174905832234,151083.11394379585,1325.0620127509635
126,2024-07-08,1.7432042646803372,151076.99618036108,1325.3694474522072
127,2024-07-09,1.7431915680926644,151071.1232097742,1325.6646143863782
128,2024-07-10,1.7431793796116692,151065.48522771223,1325.9480020049311
129,2024-07-11,1.7431676788807162,151060.07282332785,1326.2200794037296
130,2024-07-12,1.7431564463606708,151054.87696338998,1326.4812970820751
131,2024-07-13,1.743145663296903,151049.8889770693,1326.7320876726612
132,2024-07-14,1.7431353116876371,151045.1005413418,1326.9728666435053
133,2024-07-15,1.7431253742535946,151040.5036669857,1327.2040329728761
134,2024-07-16,1.7431158344088666,151036.09068514605,1327.4259697982116
135,2024-07-17,1.7431066762329763,151031.8542344446,1327.639045039972
136,2024-07-21,1.743097884444076,151027.7872486117,1327.8436120013719
137,2024-07-22,1.7430894443732319,151023.88294461943,1328.0400099448689
138,2024-08-01,1.743081341939753,151020.1348112947,1328.2285646462844
139,2024-08-02,1.7430735636275212,151016.5365983932,1328.4095889273904
140,2024-08-03,1.7430660964622802,151013.0823061152,1328.5833831677705
141,2024-08-04,1.743058927989844,151009.76617504464,1328.7502357967344
142,2024-08-05,1.7430520462551897,151006.58267649493,1328.9104237660376
143,2024-08-06,1.7430454397823918,151003.5265032441,1329.064213004138
144,2024-08-07,1.7430390975553718,151000.59256064412,1329.2118588526864
145,2024-08-08,1.7430330089994246,150997.77595808887,1329.3536064859243
146,2024-08-11,1.7430271639634918,150995.0720008256,1329.4896913136508
147,2024-08-12,1.7430215527031483,150992.47618209693,1329.6203393683754
148,2024-08-13,1.7430161658642778,150989.98417559906,1329.745767677277
149,2024-08-14,1.7430109944674061,150987.59182824384,1329.8661846195355
150,2024-08-15,1.7430060298926655,150985.29515321233,1329.9817902696154
